"DOB" "NKID" "DEP" "PHON" "SINC" "AES" "DAINC" "RES" "DHVAL" "DMORT" "DOUTM" "DOUTL" "DOUTHP" "DOUTCC" "BAD"
"1" 19 4 0 1 0 "R" 0 "O" 14464 4 0 0 0 0 0
"2" 41 2 0 1 0 "P" 36000 "O" 0 0 280 664 0 80 0
"4" 51 2 0 1 0 "P" 464 "O" 24928 8464 584 320 0 60 0
"5" 65 0 0 1 0 "P" 15000 "P" 0 0 0 0 0 0 0
"6" 42 2 0 1 10500 "E" 48000 "O" 43392 46464 1120 0 0 0 0
"8" 43 1 0 1 13500 "E" 9000 "O" 63392 54464 0 200 0 0 0
"9" 52 0 0 1 0 "E" 22500 "P" 0 0 0 200 0 80 0
"10" 65 0 0 1 0 "P" 19500 "O" 26464 4464 540 0 0 0 0
"11" 48 2 0 1 0 "E" 30000 "O" 38464 23664 600 0 524 0 0
"12" 55 0 0 1 8000 "V" 21000 "O" 14464 64000 376 0 0 0 0
"13" 44 0 0 1 0 "P" 24000 "O" 54464 0 384 0 0 0 0
"14" 53 1 0 1 10000 "V" 28170 "O" 8928 28000 404 0 0 0 0
"15" 54 2 0 1 2100 "N" 48000 "O" 50464 28464 600 0 0 88 0
"16" 62 0 0 1 0 "P" 18009 "F" 0 0 280 0 0 0 0
"17" 46 1 0 1 2500 "P" 33000 "O" 3392 54000 0 240 480 0 0
"18" 19 0 0 1 104 "R" 24000 "O" 52928 4 0 0 0 0 0
"19" 62 0 0 1 8970 "B" 18474 "O" 57464 28008 748 0 0 140 0
"21" 31 0 0 1 20000 "U" 0 "O" 0 0 0 0 0 0 1
"22" 33 0 0 1 3600 "P" 9360 "U" 0 0 152 512 0 0 1
"23" 38 2 0 1 5000 "V" 18464 "O" 13568 28928 0 2000 0 600 0
"24" 31 2 1 1 0 "P" 33464 "F" 0 0 2800 0 0 800 0
"25" 55 1 1 1 0 "P" 27000 "O" 16928 14464 580 0 0 0 0
"26" 31 2 0 0 0 "P" 3928 "F" 0 0 852 0 0 0 0
"28" 29 0 0 1 1000 "P" 60000 "O" 3392 4 0 0 0 0 0
"30" 42 3 0 1 1000 "V" 26637 "O" 54464 4 0 0 276 0 0
"31" 45 4 0 1 10400 "V" 6600 "O" 48928 54000 352 124 0 0 0
"33" 28 0 0 1 0 "V" 17100 "F" 0 0 0 100 0 0 0
